gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
1.6545896231715938e-07,-6.613284450554824e-09,-1.0662101138164412e-08,8.703320120690186e-08,-2.918805960732846e-07,1.309387516443978e-07,-2.041985608477368e-07,1.2824232807450633e-07,9.800041167275925e-08,-8.683397632121227e-08,1.1252274182196721e-07,-1.835630991285841e-07,6.0
1.4159295469837446e-07,0.0,0.0,0.0,0.0,0.0,-8.902071603394986e-09,0.0,0.0,0.0,0.0,0.0,1.0
-4.331455251887303e-08,1.9676229847786448e-07,0.0,0.0,0.0,0.0,2.222354102912848e-08,8.380808876802504e-08,0.0,0.0,0.0,0.0,2.0
-9.404424663337788e-08,-2.8180815120007426e-08,-3.4375695676075694e-08,0.0,0.0,0.0,-6.363907412273197e-08,3.738334737198611e-08,-3.325197842890027e-08,0.0,0.0,0.0,3.0
7.097396539731657e-08,1.8330300320298546e-07,3.762194201930031e-07,3.3085083497059497e-07,0.0,0.0,-1.50670846581006e-07,-1.991997195636464e-07,2.754339390275969e-07,2.85447044461477e-07,0.0,0.0,4.0
-7.690295580593217e-07,9.643386521696256e-07,-6.225477374765937e-07,-1.2206818381893995e-06,1.953090941103039e-07,0.0,1.8310227572840995e-06,-8.422704683506856e-07,1.4404045690634914e-06,2.014125033012509e-06,-1.7699886653746292e-06,0.0,5.0
-2.6825107340255687e-08,-5.029707626297942e-07,6.203306072434128e-07,2.850167654902167e-07,2.2801341239217335e-07,9.724101410842689e-08,3.2190128808306826e-07,4.929113473771983e-07,2.749573502376208e-07,-2.2466027397464138e-07,9.388787569089493e-08,4.627331016194106e-07,6.0
6.523387079098255e-07,0.0,0.0,0.0,0.0,0.0,2.400161874794609e-07,0.0,0.0,0.0,0.0,0.0,1.0
-7.740687308926572e-07,1.7092207177586897e-06,0.0,0.0,0.0,0.0,3.294799939339428e-07,1.0674108986665108e-06,0.0,0.0,0.0,0.0,2.0
-8.423977811308253e-08,-2.7469492862961694e-08,1.196449022475665e-07,0.0,0.0,0.0,3.6625990483948936e-08,-1.0316320652978949e-07,-3.540512413448396e-08,0.0,0.0,0.0,3.0
-7.670455200133378e-07,7.348939113900241e-08,1.05640999762316e-07,3.95005477372138e-07,0.0,0.0,-1.331995214394419e-07,2.11281999524632e-07,2.342474342555702e-07,1.95665503907594e-06,0.0,0.0,4.0
5.09901100652608e-08,-7.614523103078945e-08,3.399340671017386e-09,-1.964818907848049e-07,8.294391237282424e-08,0.0,-2.651485723393561e-08,2.7194725368139084e-09,2.7194725368139084e-09,-6.050826394410946e-08,-8.498351677543466e-08,0.0,5.0
-7.689698967508874e-08,7.370311979694045e-07,1.7990297322894611e-06,1.3740069316629913e-06,7.124295720489109e-08,-1.9126671457706e-06,4.061279584768265e-07,5.234631355320704e-07,-7.488170894130026e-07,1.2110177195972505e-06,-9.315252056302352e-07,7.340320109295901e-07,6.0
-1.448756754220916e-06,0.0,0.0,0.0,0.0,0.0,-3.87739726411629e-06,0.0,0.0,0.0,0.0,0.0,1.0
1.9079465438289965e-07,1.4983471419961132e-07,0.0,0.0,0.0,0.0,6.80753251117114e-08,2.0295704893832541e-07,0.0,0.0,0.0,0.0,2.0
1.7395932550495778e-07,-2.0118086152840868e-06,1.339147393799947e-06,0.0,0.0,0.0,-4.090661128961581e-07,-2.899138858519772e-06,6.312036974233535e-10,0.0,0.0,0.0,3.0
3.048373973346187e-08,-1.117183900858693e-07,-4.3858141881173307e-07,-1.0314475941942549e-07,0.0,0.0,-3.472091929141596e-07,-2.6908586953571315e-08,-3.605174550043256e-07,3.449972473644395e-07,0.0,0.0,4.0
-2.8811978761504804e-08,-3.025257769958004e-08,-4.100166208367991e-09,-4.177736920418196e-08,-9.308485446024633e-09,0.0,-2.6706488005856377e-08,-1.5514142410041048e-08,3.4352743907948037e-09,-2.0611646344768826e-08,-8.421963022593711e-09,0.0,5.0
