gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6.773360430702235e-07,0.0,0.0,0.0,0.0,0.0,1.133235302829028e-06,0.0,0.0,0.0,0.0,0.0,1.0
4.379934035566815e-08,2.1713727454055375e-07,0.0,0.0,0.0,0.0,2.2936428447099798e-07,3.6302053607126683e-07,0.0,0.0,0.0,0.0,2.0
2.3708158362120618e-07,-1.424604804828461e-07,7.76255979308394e-07,0.0,0.0,0.0,2.315559987837951e-07,1.5052350558785416e-07,3.977834174152923e-07,0.0,0.0,0.0,3.0
1.4566720638246793e-08,-2.3504621165366966e-09,1.1333305321261241e-08,-5.793275728034467e-09,0.0,0.0,4.25611066521719e-09,1.1799992680534421e-08,-4.971359115767814e-09,9.08349843240478e-09,0.0,0.0,4.0
-1.3521316536273484e-07,-1.5366004597448662e-08,-5.012305882373949e-08,-7.769444938730479e-08,-4.35318968893277e-08,0.0,4.0652641559388375e-08,-8.399435639399724e-08,-4.7198461310485295e-08,-2.122978862342489e-08,-3.0798184754139666e-08,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1.13620060658548e-05,0.0,0.0,0.0,0.0,0.0,-9.357196170631694e-07,0.0,0.0,0.0,0.0,0.0,1.0
2.855130324008192e-07,3.394968851085068e-07,0.0,0.0,0.0,0.0,3.934444229769924e-07,6.769416324044533e-07,0.0,0.0,0.0,0.0,2.0
1.3306243710083758e-07,2.39987917732438e-07,6.774802248214475e-08,0.0,0.0,0.0,1.877869251767665e-07,9.082958456907424e-08,-3.0007771008401187e-08,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3.6459885990368574e-08,7.21244592270676e-08,4.698792172736404e-08,-5.4982117553886335e-08,4.02797471787514e-07,-2.33964106066497e-08,3.0909012569129885e-07,1.850523348324341e-07,-8.036689831832203e-08,3.252786751122476e-07,2.812909086408749e-07,1.5014019682510598e-07,6.0
-1.928088118932016e-07,0.0,0.0,0.0,0.0,0.0,8.190847567127484e-07,0.0,0.0,0.0,0.0,0.0,1.0
-1.833098462368264e-07,-1.0280214349767965e-07,0.0,0.0,0.0,0.0,-1.139493638769461e-07,-1.2261942417193114e-07,0.0,0.0,0.0,0.0,2.0
9.571377081205614e-09,-7.657101664964491e-08,-8.195491625782307e-08,0.0,0.0,0.0,-8.374954946054912e-08,-8.315133839297377e-08,-1.0947262536628921e-07,0.0,0.0,0.0,3.0
-2.2968316125423066e-08,-3.774535525093392e-07,-1.008517117531559e-07,4.605341967754737e-08,0.0,0.0,1.350570955855684e-07,-8.482441673832068e-08,-8.9382417274313e-08,-1.1796131754047501e-07,0.0,0.0,4.0
-9.84271064286468e-08,-4.7198963316661033e-08,-1.1109024292823877e-07,-5.755971136178174e-09,-8.633956704267264e-08,0.0,-1.6577196872193142e-07,-7.828120745202316e-08,-6.6193668066049e-08,-1.1339263138271005e-07,-1.1511942272356344e-09,0.0,5.0
1.2447297600522974e-07,2.454883693436476e-07,3.941644240165609e-07,1.417608893392894e-07,3.492158493480057e-07,-1.2447297600522974e-07,-5.843314706912174e-07,-1.6250638534016105e-07,-5.635859746903458e-07,-4.010795893501847e-07,2.5586111734408336e-07,-1.1755781067160588e-07,6.0
-1.0646423588493437e-07,0.0,0.0,0.0,0.0,0.0,-9.614864485195785e-08,0.0,0.0,0.0,0.0,0.0,1.0
-4.815882650127464e-07,6.071472801664283e-07,0.0,0.0,0.0,0.0,4.41708674357742e-07,2.265890231510929e-07,0.0,0.0,0.0,0.0,2.0
8.65648178257933e-07,1.1098053567409396e-06,4.024894093780475e-06,0.0,0.0,0.0,1.2725768090629442e-06,2.855899118013352e-06,1.7460937612724115e-06,0.0,0.0,0.0,3.0
6.259402384354511e-07,1.0563692294161888e-06,-1.3446740677347247e-06,-1.1828199963412038e-06,0.0,0.0,1.339948538623195e-06,-1.9688142563593784e-06,5.88179440678963e-07,-8.166362507989649e-07,0.0,0.0,4.0
-9.510589777510209e-07,1.6405022274971164e-06,-2.6562274078038026e-06,1.8863447144076048e-06,-1.0485577148138984e-06,0.0,3.491271332903832e-07,-1.0515229736079374e-06,-1.054993328499646e-06,4.326952955604595e-07,-1.0303414920618373e-06,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
-5.666381169570837e-07,0.0,0.0,0.0,0.0,0.0,6.29597907730093e-08,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-1.2615850270937593e-06,-2.0973873461802724e-06,-4.714900944696598e-07,0.0,0.0,0.0,-2.479856224609437e-09,-2.0120153171488561e-07,-1.173649476856765e-06,0.0,0.0,0.0,3.0
2.2971148939218699e-07,1.9734664037129466e-07,5.367828618099215e-08,7.893865614851788e-08,0.0,0.0,5.4467672742477334e-08,8.13068158329734e-08,1.8155890914159112e-08,7.183417709515126e-08,0.0,0.0,4.0
-7.529660776791472e-07,1.1424187610645412e-06,-3.711696769426386e-07,-5.906131134673352e-07,-8.90617224457097e-07,0.0,-2.611512456202433e-06,5.413902615456782e-07,9.26362584793417e-07,-6.145482586526686e-07,1.845443438498068e-06,0.0,5.0
-1.4941650619345055e-09,-1.1885403901751748e-10,-1.7064044173229299e-09,-8.319782731226223e-10,1.6979148431073928e-10,2.5468722646610887e-11,5.857806208720505e-10,-6.367180661652722e-10,5.688014724409767e-10,-2.631768006816458e-10,1.5366129330121906e-09,2.546872264661089e-10,6.0
1.804467653972025e-07,0.0,0.0,0.0,0.0,0.0,-5.327475930774549e-08,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2.3068834189495842e-07,-1.107199975012206e-07,6.436870679822335e-07,0.0,0.0,0.0,-1.6052433146262625e-08,1.8885554979679962e-07,-1.0781209901784673e-07,0.0,0.0,0.0,3.0
1.333851068038076e-08,7.191477276024777e-09,-8.079364508318156e-09,-1.828753812682745e-08,0.0,0.0,1.4105212685416089e-08,6.488362437753396e-09,1.036838626175267e-08,-8.358992501919398e-09,0.0,0.0,4.0
-2.97893230590766e-08,-1.0712462521113737e-07,-2.3837344873033683e-08,-1.6995341301760069e-07,-1.215722752990107e-07,0.0,4.583876185931862e-08,-5.017225848378754e-08,4.163749017197617e-08,-4.335744668529839e-08,8.068120808054884e-08,0.0,5.0
1.8079344477852761e-07,5.20977870378616e-08,1.751351965541607e-07,2.1389417304007801e-07,2.007727315716081e-07,2.8971756829908232e-08,1.3804236932342325e-07,1.0520961608048001e-07,8.198429730436209e-08,2.821160203642883e-07,-3.4144660952193626e-08,1.843488822786649e-07,6.0
-5.1983794224610934e-08,0.0,0.0,0.0,0.0,0.0,-4.52729014104281e-08,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-6.285316664038851e-07,-1.2805859206386953e-06,4.777397756399006e-07,0.0,0.0,0.0,7.913821507924212e-07,3.148203018241137e-07,-1.4386642628164729e-06,0.0,0.0,0.0,3.0
-1.1346745923125529e-08,4.872825503188822e-07,-1.8173344394814986e-07,6.183151357118879e-07,0.0,0.0,5.99884835170591e-07,8.124330203708517e-07,-1.896038662858032e-07,5.61944642516466e-07,0.0,0.0,4.0
1.845563829004225e-09,2.8667829823742063e-08,-2.0398998269919763e-08,-3.4792795584964775e-07,1.3139893845780504e-07,0.0,-1.80093383895145e-08,-3.009179066824737e-10,2.083645648392023e-07,-2.772797123010743e-07,8.826093305840314e-09,0.0,5.0
2.0897977076162801e-07,3.658497796216122e-07,5.694135750514778e-07,2.468870726728342e-07,9.299445584786785e-08,3.1801275699141444e-07,8.298417626353001e-07,-6.716429035622218e-08,4.798761045088334e-07,2.049730172977753e-07,7.633074792081703e-07,-3.527991656042848e-07,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.905594554502077e-07,-3.972244655244558e-07,0.0,0.0,0.0,0.0,-2.444458249381267e-07,3.972244655244558e-07,0.0,0.0,0.0,0.0,2.0
4.191309039317435e-08,3.741315130824572e-08,4.2336197235183664e-08,0.0,0.0,0.0,1.567461984384723e-08,1.5313841062082062e-08,3.956702567769786e-08,0.0,0.0,0.0,3.0
7.34997794162217e-08,-4.153097325014827e-07,3.635055983146969e-07,-5.082546958727427e-07,0.0,0.0,1.13282354355941e-06,-1.269021208831971e-06,4.384537145380946e-07,8.034769439387529e-07,0.0,0.0,4.0
5.838592776597311e-07,1.1219256707971302e-06,-1.3165454300170405e-07,-1.0303399017524665e-07,-2.86205528264574e-07,0.0,1.3165454300170405e-07,-3.148260810910315e-07,-7.899272580102244e-07,3.319984127869059e-07,-3.0910197052574e-07,0.0,5.0
-1.0459211059713414e-07,1.4802197905413481e-08,8.897209738448676e-08,7.153023323410485e-08,3.2989540443806895e-08,3.62943304683444e-08,-1.3901279816858024e-07,-4.560416663190217e-08,-8.050005170022636e-08,9.65271776653589e-08,1.5060816609091812e-07,1.683988331143703e-07,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.4718149178696876e-07,5.1704996678014164e-08,-1.02189836793312e-07,0.0,0.0,0.0,2.007812058524196e-08,-1.2426992769557148e-08,8.967403450435366e-08,0.0,0.0,0.0,3.0
-1.1894312621218948e-07,3.204606302710484e-07,2.135300143331176e-07,8.576603857702852e-08,0.0,0.0,4.047073848771045e-07,3.519254932565656e-07,1.7788512076832637e-07,3.597053679166516e-07,0.0,0.0,4.0
-2.6601694990137725e-08,3.3316498451354964e-08,-8.279714877871675e-08,-4.9512136580870126e-08,-2.4622043459847637e-08,0.0,5.771087829335812e-08,-9.910823434865896e-08,-2.849413929127708e-08,-6.671454834294163e-08,1.4909509374528563e-08,0.0,5.0
3.234269052450492e-07,1.0579098053471482e-06,-2.2075043931219161e-07,2.92999131958063e-07,8.562318581093301e-07,5.137213706637567e-07,1.0540679935358678e-06,1.5219384177456414e-07,4.528444359893507e-07,-2.588048012872486e-07,6.050691716867636e-07,8.638391182918239e-07,6.0
6.3952302771551584e-09,0.0,0.0,0.0,0.0,0.0,2.5133197518946244e-08,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.252629932384656e-08,-9.280246818617232e-09,-4.7435861051591567e-08,0.0,0.0,0.0,3.702559271720136e-09,-1.1420930938005453e-07,-1.3359299564074702e-09,0.0,0.0,0.0,3.0
9.009159247677485e-08,-7.460710001982915e-08,5.349188303308505e-08,-1.1331833116219337e-07,0.0,0.0,4.997268020196104e-08,-2.5338260384092922e-08,-1.963715179767201e-07,3.941507170858899e-08,0.0,0.0,4.0
-3.415014132321748e-08,7.686760085477704e-08,-4.0244376357826296e-08,-3.532123171157748e-08,6.356060707569363e-08,0.0,-1.3420877727029992e-08,3.2624959894900744e-08,8.232921683224817e-08,-4.587547565150956e-09,9.75509845392354e-08,0.0,5.0
-6.02347987186348e-07,-2.9505466427148345e-07,3.7964466716698265e-08,4.6973523436109456e-08,-1.897776786240862e-07,2.295678014161467e-07,-5.427804472391411e-07,-1.2252546713996892e-06,6.364467049416386e-07,-4.348116347188961e-07,-9.423598852962162e-07,-1.6285309222954429e-07,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.2513264557523875e-08,2.930109522255829e-07,0.0,0.0,0.0,0.0,5.4900685289138136e-08,-1.1319171110913785e-08,0.0,0.0,0.0,0.0,2.0
-8.441428467270254e-07,2.813808210956316e-07,3.376570508655189e-07,0.0,0.0,0.0,-3.038913371078105e-06,1.1630407356277782e-06,1.1442821575739162e-06,0.0,0.0,0.0,3.0
5.729472660929177e-07,9.9777271703987e-07,8.938364870233213e-07,5.455488140879079e-07,0.0,0.0,1.6692663729599993e-07,6.824518892716009e-07,7.487760645869627e-07,8.470498957977853e-07,0.0,0.0,4.0
1.7629584764902984e-07,2.0473066178597013e-07,2.217915502681343e-07,1.5273557307842216e-07,2.3885243875029845e-07,0.0,-3.412177696432835e-08,3.054711461568443e-07,2.0066854548069294e-07,5.93068980570469e-08,2.201667037460235e-07,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8.031491727326865e-09,0.0,0.0,0.0,0.0,0.0,-8.769603853443282e-07,0.0,0.0,0.0,0.0,0.0,1.0
-2.317739462965425e-06,1.8778339796863893e-06,0.0,0.0,0.0,0.0,4.898157669931489e-07,-8.334761000296273e-07,0.0,0.0,0.0,0.0,2.0
1.1620451371762951e-09,-3.050368485087774e-09,2.3386158385672937e-08,0.0,0.0,0.0,4.7934361908522174e-09,-2.2659880174937755e-08,-2.2224113248496644e-08,0.0,0.0,0.0,3.0
