gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
-1.3312743577342355e-07,5.044829145098155e-07,0.0,0.0,0.0,0.0,6.539593336238349e-08,-1.5181198816267598e-07,0.0,0.0,0.0,0.0,2.0
5.43069181911484e-08,-4.121363347730985e-08,2.0824051126377347e-08,0.0,0.0,0.0,7.121003270031138e-08,1.4178969239116312e-07,3.2573578682206835e-09,0.0,0.0,0.0,3.0
-2.5303393846290676e-07,-1.7955291142299239e-07,-1.2993544571409372e-07,-1.7617565199677546e-07,0.0,0.0,-7.617775276399196e-08,-5.6076661012963887e-08,-4.245810423452525e-08,-2.1684561126686275e-08,0.0,0.0,4.0
3.714936561349362e-08,1.0407261123290733e-07,4.7993653143601405e-08,1.4992771965419603e-07,4.619092693274978e-08,0.0,9.794868751055557e-08,4.416513162252162e-08,-1.3152665479943075e-07,-1.7910749260990266e-07,2.3912296122299813e-07,0.0,5.0
-2.5428249331893758e-08,-1.614702187206734e-08,1.3342620667709859e-08,-1.2877170850392953e-08,5.175169624107199e-09,-4.4369935754128066e-08,1.582834856615544e-08,-3.704726902050288e-08,4.564422944878735e-09,4.45945600645284e-08,-3.9942359549858604e-08,-3.260009584272683e-10,6.0
1.1921823086040783e-07,0.0,0.0,0.0,0.0,0.0,8.170539624398465e-08,0.0,0.0,0.0,0.0,0.0,1.0
7.489289886232467e-08,-2.387584965959854e-09,0.0,0.0,0.0,0.0,1.6261312925475334e-08,1.7563453532646424e-08,0.0,0.0,0.0,0.0,2.0
3.0468224304520844e-06,-7.627376774442506e-08,1.5054874325572996e-06,0.0,0.0,0.0,3.0255710044487104e-06,1.104581029248509e-06,2.208961899499446e-06,0.0,0.0,0.0,3.0
2.195328083160588e-07,-4.821833989932102e-09,-2.491865779413992e-08,-3.138638441424733e-08,0.0,0.0,3.6162560657474335e-08,1.2869217354149677e-08,4.3420391249717545e-08,2.9735714716006298e-08,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.5732539025051729e-06,1.3020032296594534e-06,3.716134217986357e-06,-2.1700053827657557e-07,1.1392528259520217e-06,7.323768166834426e-07,5.886139600752113e-06,3.2550080741486336e-07,2.1971304500503275e-06,5.425013456914389e-07,1.546128835220601e-06,6.238765475451548e-07,6.0
-4.820700790249127e-07,0.0,0.0,0.0,0.0,0.0,-8.257750331025205e-07,0.0,0.0,0.0,0.0,0.0,1.0
-5.037333145921608e-07,-9.345724944947052e-08,0.0,0.0,0.0,0.0,1.4154074859646834e-07,-1.6798840756388244e-07,0.0,0.0,0.0,0.0,2.0
-2.035424926559876e-07,-3.2483827342224457e-07,-1.239082471316457e-07,0.0,0.0,0.0,-2.8685517016271335e-07,9.014308862911203e-09,-3.7602273277203094e-07,0.0,0.0,0.0,3.0
1.076904044371729e-06,2.746612960922226e-08,1.3885517806360944e-07,1.1076889989204905e-06,0.0,0.0,1.5815816599035016e-06,4.6918714375346793e-07,1.925914123614837e-06,2.1470135173505155e-06,0.0,0.0,4.0
2.9622105080177746e-08,1.4333279010535405e-09,-2.62776941088258e-08,-1.0941072549473934e-07,2.5799900430528325e-08,0.0,-8.647747426064539e-08,-2.3888804350804658e-08,-1.8967710445349646e-07,-4.0610969109804414e-08,-6.6888717881292915e-09,0.0,5.0
-3.739135571703312e-08,2.6791704005865102e-08,3.7008627918502326e-08,-9.242295207660327e-10,-6.642504908180483e-08,-1.3264410472979021e-08,2.842804483319785e-08,-1.6452761832102564e-08,-4.170487726317137e-09,5.923342716562975e-08,-9.787123845145398e-08,-3.6932712530593904e-08,6.0
-5.553266945192492e-07,0.0,0.0,0.0,0.0,0.0,-1.2271196317937372e-06,0.0,0.0,0.0,0.0,0.0,1.0
-1.030649879313071e-09,-1.778607220300271e-09,0.0,0.0,0.0,0.0,-1.3604578406932538e-09,-7.538467688689891e-10,0.0,0.0,0.0,0.0,2.0
